sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon,po_code
857,PO_857,Tadikol Bo -508248,508248,postoffice,7,16.65014,78.86089,275468
858,PO_858,Teppalamadugu B.O -508266,508266,postoffice,7,16.76393,79.23955,204374
859,PO_859,Teppalamadugu B.O -508266,508266,postoffice,7,16.76385,79.23955,204350
860,PO_860,Teppalamadugu B.O -508266,508266,postoffice,7,16.76385,79.23955,204311
861,PO_861,Teppalamadugu B.O -508266,508266,postoffice,7,16.76389,79.23948,204406
862,PO_862,Thungathurthi B.O -508266,508266,postoffice,7,16.71718,79.24192,204226
863,PO_863,Timmapur Bo -508248,508248,postoffice,7,16.61383,78.9505,185279
864,PO_864,Vaddipatla Bo -508243,508243,postoffice,7,16.6384,79.11458,179540
865,PO_865,Velmagudem B.O -508266,508266,postoffice,7,16.77617,79.18825,206809
866,PO_866,Vutlapally B.O -508266,508266,postoffice,7,16.63342,79.17502,203921
867,PO_867,Yerraram Bo -508258,508258,postoffice,7,16.59691,78.84342,277521
868,PO_868,Bompally -501502,501502,postoffice,7,17.11579,77.87176,174247
869,PO_869,Manneguda Bo -501102,501102,postoffice,7,17.29831,77.99474,380967
870,PO_870,Mittakoduru -501501,501501,postoffice,7,17.2014,77.81328,226511
871,PO_871,Mominkalan -501121,501121,postoffice,7,17.22907,77.82025,378148
872,PO_872,Pudur Bo -501102,501102,postoffice,7,17.2635,77.95977,381077
873,PO_873,Purgi -501501,501501,postoffice,7,17.1708,77.86172,179246
874,PO_874,Rupkhanpet -501501,501501,postoffice,7,17.17239,77.84002,226315
875,PO_875,Shivareddypally -501502,501502,postoffice,7,17.11567,77.88971,382313
876,PO_876,Somangurthi -501501,501501,postoffice,7,17.22596,77.93601,230091
877,PO_877,Sultanpur -501501,501501,postoffice,7,17.16092,77.86614,226166
878,PO_878,Tharigopula. B.O -501121,501121,postoffice,7,17.26965,77.81799,380406
879,PO_879,Wootpally -501502,501502,postoffice,7,17.13065,77.85303,382942
