sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon
183,src5_1454,alkapuri / alkapuri colony uppal,"lb nagar - uppal road, gaytri arcade, income tax colony, kothapet, hyderabad",src5,3,17.36599,78.55694
184,node/2199476229,all india radio,,osm,4,17.40194,78.46914
185,451,all saints road,,shakti-gtfs,5,17.47041,78.50186
186,568,allauddin building,,shakti-gtfs,5,17.445,78.46556
187,2068,allwyn,,shakti-gtfs,5,17.45729,78.43644
188,src5_2266,allwyn 1st phase jalakanya hotel,,src5,3,17.5044,78.4157
189,src5_2267,allwyn 1st phase jalakanya hotel,,src5,3,17.50421,78.41585
190,4087,allwyn colony,allwyn colony,gps-logs-ghz,2,17.50046,78.41603
191,4088,allwyn colony,allwyn colony tt,gps-logs-ghz,2,17.50033,78.41603
192,src5_2268,allwyn colony,"2nd phase, allwyn colony, jagathgiri gutta, hyderabad",src5,3,17.50526,78.41143
193,src5_2269,allwyn colony,"2nd phase, allwyn colony, jagathgiri gutta, hyderabad",src5,3,17.50537,78.41131
194,src5_2450,allwyn colony,,src5,3,17.45672,78.43978
195,src5_2451,allwyn colony,,src5,3,17.45688,78.43984
196,node/2616373415,allwyn colony,,osm,4,17.49476,78.35216
197,117,allwyn colony hafeezpet,,shakti-gtfs,5,17.48967,78.35409
198,src5_1992,allwyn colony x road,,src5,3,17.49335,78.35182
199,src5_1993,allwyn colony x road,"gachibowli - miyapur road, indra reddy allwyn colony, miyapur, hyderabad",src5,3,17.49246,78.35275
200,src5_1999,allwyn colony x road,"allwyn x road, widia colony, madinaguda, hyderabad",src5,3,17.4945,78.35219
201,src5_2358,allwyn erragadda,,src5,3,17.45371,78.43484
202,590,allwyn factory,,shakti-gtfs,5,17.52542,78.27103
203,1294,allwyn phase 1,allwyn phase 1 towards sainagar,gps-logs-ghz|kodali-stops,2,17.50193,78.41888
204,1308,allwyn phase 1,allwyn phase 1 towards jagadgiri gutta,gps-logs-ghz|kodali-stops,2,17.50201,78.41895
205,src5_2270,allwyn phase 1,,src5,3,17.50219,78.41873
206,src5_2271,allwyn phase 1,"hmt road, sai enclave, madhavaram nagar colony, kamalaprasad nagar, hyderabad",src5,3,17.50188,78.41885
207,src5_2272,allwyn phase 1,,src5,3,17.50211,78.41916
208,377,allwyn x road,allwyn x roads to words deepthisree nagar,gps-logs-ghz|kodali-stops,2,17.49323,78.35175
209,402,allwyn x road,allwyn x roads towards  hafeezpet,gps-logs-ghz|kodali-stops,2,17.49323,78.35189
210,459,allwyn x road,allwyn x roads towards miyapur,gps-logs-ghz|kodali-stops,2,17.49451,78.35235
211,863,allwyn x road,allwyn road towards madinaguda,gps-logs-ghz|kodali-stops,2,17.49382,78.34995
212,src5_1990,allwyn x road,"gachibowli - miyapur road, widia colony, hafeezpet, hyderabad",src5,3,17.49336,78.35148
213,src5_1995,allwyn x road,"miyapur, hyderabad",src5,3,17.49381,78.34986
214,src5_1997,allwyn x road,,src5,3,17.49192,78.35314
215,src5_2000,allwyn x road,"national highway 65, widia colony, miyapur, hyderabad",src5,3,17.49452,78.35218
216,161,allwyn x road,,shakti-gtfs,5,17.49395,78.35124
217,src5_3505,almasguda,,src5,3,17.30929,78.533
